,beta_burnout,p_burnout,beta_productivity,p_productivity,matters_for
Deep work (h/day),-0.04681215290819123,0.0,0.5602037565980716,0.0,productivity
Emotional exhaustion (1-10),0.5113410631939406,0.0,-0.18142847127769715,0.0,both
Stress (1-10),0.38267329757325225,0.0,-0.13582556662397433,0.0,both
Task completion rate (%),-6.865593553320447e-05,0.8029306522001665,0.35545182546640824,0.0,productivity
Concentration (1-10),0.00017987311387710283,0.5132299852950253,0.34767593235964284,0.0,productivity
Job satisfaction (1-10),-0.2544093011286647,0.0,0.09032910126116901,0.0,both
Motivation (1-10),0.00030672229339913945,0.2648935253015276,0.23087950271393848,0.0,productivity
Focus sessions per day,0.0005527778713494087,0.04450742098938271,0.23063375470229927,0.0,productivity
Screen time (h/day),0.2208603698017259,0.0,-0.07829322267388235,0.0,both
Doomscrolling (h/day),0.2002528216516996,0.0,-0.07121900971645077,0.0,both
Workspace quality (1-10),-0.00017177735202930487,0.5323710978296577,0.17276915718164407,0.0,productivity
Late-night device use (0/1),0.15853872227272267,0.0,-0.056240326794529644,0.0,both
Distractions per day,0.15210386657875724,0.0,-0.05382861738427023,0.0,both
Social media (h/day),-0.0004125263402398293,0.13374826932140244,-0.14118760360629362,0.0,productivity
Sleep (h/night),-0.1303613863021272,0.0,0.04632542555668711,0.0,burnout
Physical activity (h/day),-0.11044544160317873,0.0,0.0393036879643659,0.0,burnout
Notifications per day,0.09643202071759546,0.0,-0.03418215093100462,0.0,burnout
App switches per day,-0.0001850587651652906,0.5011599411911809,-0.08310302320653676,0.0,productivity
Remote days per week,-0.0006232501877240394,0.023485712273140905,0.00021395970329903465,0.2971612338202694,neither
Mental fatigue (1-10),-0.00022284754571439113,0.41792649883827804,0.00032371062652642666,0.1147238106389869,neither
Phone unlocks per day,0.00016741869276042296,0.5428248462002515,-0.00022699727914219116,0.26869755644369075,neither
Internet stability (1-10),-0.00016540614306334475,0.5476855791538712,0.00016780090948412545,0.4135700773975647,neither
Sleep quality (1-10),-0.0001617686418335809,0.5565253334166,9.423510439633517e-05,0.6461116664056412,neither
Meetings (h/day),9.294371463901804e-06,0.9730494380232839,-0.00015023242082164482,0.46415455575947073,neither
"Caffeine intake (per day, unit not stated)",3.61775616966344e-05,0.8953789292539606,-7.752103225040824e-05,0.7056319500811999,neither
