,spread_in_sd
Stress (1-10),1.7418605
Emotional exhaustion (1-10),1.7414814
Deep work (h/day),1.6635468
Physical activity (h/day),0.0063933567
App switches per day,0.0052670212
Task completion rate (%),0.00486397
Screen time (h/day),0.0048297415
Concentration (1-10),0.003624049
Social media (h/day),0.0035741653
Distractions per day,0.0035223677
Focus sessions per day,0.0033957527
Doomscrolling (h/day),0.00321592
Workspace quality (1-10),0.003197314
Sleep (h/night),0.0030537865
Job satisfaction (1-10),0.0027198717
Motivation (1-10),0.0025828732
Notifications per day,0.0025587268
Late-night device use (0/1),0.00245594
