change,holding,burnout,productivity,affects_pct
Exhaustion HIGH → LOW,"Stress HIGH, Deep work HIGH",-19.706566,6.2910767,9.782891036590575
Exhaustion HIGH → LOW,"Stress HIGH, Deep work LOW",-19.654106,7.6884346,10.232624799926802
Exhaustion HIGH → LOW,"Stress LOW, Deep work HIGH",-19.593498,5.6987305,9.765848767861316
Exhaustion HIGH → LOW,"Stress LOW, Deep work LOW",-19.732216,7.531513,10.232104425309114
Stress HIGH → LOW,"Exhaustion HIGH, Deep work HIGH",-14.801342,4.805168,9.782891036590575
Stress HIGH → LOW,"Exhaustion HIGH, Deep work LOW",-14.675999,5.737175,10.232624799926802
Stress HIGH → LOW,"Exhaustion LOW, Deep work HIGH",-14.688274,4.212822,14.65747858550037
Stress HIGH → LOW,"Exhaustion LOW, Deep work LOW",-14.754108,5.5802536,15.31867958409926
Deep work LOW → HIGH,"Exhaustion HIGH, Stress HIGH",-1.2191467,21.368557,10.232624799926802
Deep work LOW → HIGH,"Exhaustion HIGH, Stress LOW",-1.34449,20.43655,10.232104425309114
Deep work LOW → HIGH,"Exhaustion LOW, Stress HIGH",-1.2716064,19.971199,15.31867958409926
Deep work LOW → HIGH,"Exhaustion LOW, Stress LOW",-1.2057724,18.603767,15.322365570974544
