,N1,N2,N3,N4,N5,N6,All
Sleep (h/night),6.5,6.498,6.501,6.5,6.504,6.501,6.501
Sleep quality (1-10),5.503,5.502,5.502,5.501,5.506,5.501,5.503
"Caffeine intake (per day, unit not stated)",3.498,3.498,3.502,3.504,3.499,3.502,3.5
Physical activity (h/day),1.236,1.237,1.238,1.237,1.241,1.237,1.238
Stress (1-10),5.497,5.501,5.494,5.502,5.496,5.507,5.499
Screen time (h/day),8.003,8.981,7.999,7.998,7.013,8.005,8.001
Social media (h/day),3.517,4.213,3.512,3.512,2.835,3.511,3.517
Doomscrolling (h/day),1.829,2.294,1.828,1.829,1.399,1.827,1.835
Notifications per day,209.629,253.215,209.248,209.468,165.39,209.378,209.438
Phone unlocks per day,157.032,189.776,157.114,156.881,124.003,157.227,157.043
Late-night device use (0/1),0.657,0.828,0.656,0.656,0.445,0.657,0.65
Deep work (h/day),2.276,3.001,2.35,3.749,2.997,3.833,3.035
Focus sessions per day,3.174,4.495,3.301,5.716,4.478,5.836,4.501
Distractions per day,75.937,60.193,74.379,45.468,60.299,43.966,60.034
Meetings (h/day),2.53,2.527,2.532,2.528,2.532,2.529,2.53
Remote days per week,3.003,2.997,3.0,2.997,3.005,3.002,3.001
