change,N1,N2,N3,N4,N5,N6
Sleep at least 7 h,-1.69,-1.7,-1.7,-1.7,-1.7,-1.7
No late-night device use,-4.82,-6.07,-4.82,-4.81,-3.27,-4.82
Doomscrolling at most 30 min,-5.37,-7.1,-5.39,-5.39,-3.83,-5.37
Social media at most 30 min,0.01,0.01,0.01,0.01,0.01,0.01
Screen time at most 8 h,-1.91,-2.98,-1.92,-1.92,-1.06,-1.91
Notifications halved (batching),-2.04,-2.47,-2.04,-2.04,-1.61,-2.03
Activity at least 30 min/day,-0.22,-0.22,-0.22,-0.22,-0.22,-0.22
Stress 1 point lower,-2.65,-2.65,-2.65,-2.65,-2.65,-2.65
One more hour of deep work,-0.6,-0.6,-0.6,-0.6,-0.6,-0.6
Two more focus sessions,0.0,0.0,0.0,0.0,0.0,0.0
Distractions 30% fewer,-2.22,-1.76,-2.18,-1.33,-1.77,-1.28
