change,N1,N2,N3,N4,N5,N6
Sleep at least 7 h,0.59,0.59,0.59,0.59,0.59,0.59
No late-night device use,1.67,2.1,1.67,1.66,1.13,1.67
Doomscrolling at most 30 min,1.86,2.46,1.87,1.87,1.33,1.86
Social media at most 30 min,5.25,6.42,5.24,5.23,4.08,5.24
Screen time at most 8 h,0.66,1.03,0.66,0.66,0.37,0.66
Notifications halved (batching),0.71,0.85,0.71,0.71,0.56,0.71
Activity at least 30 min/day,0.08,0.08,0.08,0.08,0.08,0.08
Stress 1 point lower,0.91,0.91,0.91,0.92,0.92,0.92
One more hour of deep work,6.98,6.98,6.98,6.98,6.98,6.98
Two more focus sessions,3.25,2.99,3.23,2.6,2.98,2.56
Distractions 30% fewer,0.77,0.61,0.75,0.46,0.61,0.44
