,age,daily_screen_time,social_media_hours,doomscrolling_duration,app_switch_frequency,notification_count,smartphone_unlocks,late_night_device_usage,focus_sessions,deep_work_hours,distraction_frequency,task_completion_rate,concentration_score,meeting_hours,sleep_hours,sleep_quality,caffeine_intake,physical_activity,stress_level,workspace_quality,internet_stability,remote_work_days,motivation_level,mental_fatigue,emotional_exhaustion,work_satisfaction,burnout_risk,productivity_score
age,1.0,-0.0003,0.0001,0.0001,-0.0001,0.0004,0.0003,-0.0,-0.0004,-0.0005,0.0002,-0.0005,-0.0007,0.0005,0.0004,-0.0,-0.0003,-0.0005,0.0004,-0.0003,-0.0002,0.0005,-0.0012,0.0006,0.0009,-0.0004,0.0006,-0.0013
daily_screen_time,-0.0003,1.0,-0.0004,-0.0005,-0.0005,-0.0002,-0.0003,-0.0005,0.0006,0.0008,-0.0001,-0.0004,-0.0008,-0.0005,-0.0004,-0.0007,-0.0,0.0002,-0.0002,0.0004,-0.0005,-0.0008,0.0009,-0.0002,0.0006,0.0002,0.2208,-0.0778
social_media_hours,0.0001,-0.0004,1.0,-0.0007,-0.0003,0.0003,-0.0001,-0.0003,0.0006,-0.0003,-0.0001,-0.0006,0.0001,0.0003,-0.0004,0.0002,-0.0009,-0.0009,0.0003,0.0004,0.0002,-0.0009,-0.0,0.0009,-0.0001,-0.0005,-0.0002,-0.14
doomscrolling_duration,0.0001,-0.0005,-0.0007,1.0,-0.0008,-0.0001,-0.0006,-0.0002,0.0006,-0.0005,-0.0001,-0.0004,0.0002,-0.0001,-0.0007,0.0004,-0.0006,0.0002,0.0006,-0.0005,-0.0001,-0.0007,-0.0006,0.0005,0.0,0.0003,0.2003,-0.0715
app_switch_frequency,-0.0001,-0.0005,-0.0003,-0.0008,1.0,0.0001,0.0004,0.0003,0.0007,0.0003,-0.0001,0.0005,0.0005,-0.0007,0.0001,-0.0009,0.0007,0.0009,-0.0002,0.0004,-0.0008,0.0002,-0.0002,0.0003,-0.0008,-0.0,-0.0008,-0.0822
notification_count,0.0004,-0.0002,0.0003,-0.0001,0.0001,1.0,0.0005,-0.0,-0.0004,0.0006,0.0006,0.0007,0.0008,-0.0004,-0.0,0.0004,-0.0001,-0.0001,-0.0,-0.0005,-0.0002,-0.0,-0.0003,0.0004,0.0005,0.0003,0.0967,-0.0339
smartphone_unlocks,0.0003,-0.0003,-0.0001,-0.0006,0.0004,0.0005,1.0,-0.0,0.0005,0.0001,-0.0002,0.0008,-0.0008,-0.0002,-0.0003,0.0,-0.0005,-0.0012,-0.0002,0.0001,0.0,-0.0003,0.0008,0.0004,-0.0003,0.0003,-0.0002,0.0001
late_night_device_usage,-0.0,-0.0005,-0.0003,-0.0002,0.0003,-0.0,-0.0,1.0,0.0005,0.0001,-0.0001,-0.0,-0.0001,-0.0,-0.0004,0.0003,-0.0003,-0.0002,-0.0004,0.0008,0.0,-0.0005,0.0001,0.0001,-0.0002,0.0003,0.158,-0.0558
focus_sessions,-0.0004,0.0006,0.0006,0.0006,0.0007,-0.0004,0.0005,0.0005,1.0,0.0002,0.0005,0.0003,-0.0009,-0.0011,-0.0001,-0.0002,-0.0001,0.0,0.0005,-0.0008,-0.0006,0.0002,0.0002,0.0009,-0.0,-0.0006,0.0011,0.2301
deep_work_hours,-0.0005,0.0008,-0.0003,-0.0005,0.0003,0.0006,0.0001,0.0001,0.0002,1.0,-0.0002,0.0005,-0.0004,-0.0002,0.0,0.0001,0.0004,0.0004,0.0004,-0.0,0.0,-0.0003,0.0001,-0.0,-0.0005,-0.0001,-0.0464,0.5546
