,label,count,mean,std,min,1%,25%,50%,75%,99%,max,skew,kurtosis
age,Age,5000000.0,38.4993548,12.120459932066389,18.0,18.0,28.0,38.0,49.0,59.0,59.0,0.0002280333291390452,-1.2012284158308495
daily_screen_time,Screen time,5000000.0,8.001009941101074,2.494804859161377,1.0,2.200000047683716,6.300000190734863,8.0,9.699999809265137,13.800000190734863,18.0,0.018907399848103523,-0.06502088159322739
social_media_hours,Social media,4900000.0,3.517651081085205,1.7594339847564697,0.0,0.0,2.299999952316284,3.5,4.699999809265137,7.699999809265137,12.0,0.1402265578508377,-0.2634008526802063
doomscrolling_duration,Doomscrolling,5000000.0,1.8346445560455322,1.132208228111267,0.0,0.0,1.0,1.7999999523162842,2.5999999046325684,4.599999904632568,7.900000095367432,0.2954793870449066,-0.36097750067710876
app_switch_frequency,App switches per day,5000000.0,129.4980926513672,69.28144836425781,10.0,12.0,69.0,129.0,190.0,247.0,249.0,0.0009819203987717628,-1.199859380722046
notification_count,Notifications per day,5000000.0,209.43795776367188,109.66456604003906,20.0,23.0,114.0,209.0,304.0,396.0,399.0,0.00047368367086164653,-1.1992042064666748
smartphone_unlocks,Phone unlocks per day,5000000.0,157.04310607910156,82.2816162109375,15.0,17.0,86.0,157.0,228.0,297.0,299.0,-0.000797922199126333,-1.2004059553146362
late_night_device_usage,Late-night device use,5000000.0,0.6499931812286377,0.4769718050956726,0.0,0.0,0.0,1.0,1.0,1.0,1.0,-0.6289398074150085,-1.6044353246688843
focus_sessions,Focus sessions per day,5000000.0,4.500511646270752,2.87272310256958,0.0,0.0,2.0,5.0,7.0,9.0,9.0,-0.00017827015835791826,-1.2243993282318115
deep_work_hours,Deep work,4900000.0,3.0353269577026367,1.7250654697418213,0.0,0.0,1.7999999523162842,3.0,4.199999809265137,7.199999809265137,11.800000190734863,0.2265726625919342,-0.33365926146507263
distraction_frequency,Distractions per day,5000000.0,60.03351593017578,34.35010528564453,1.0,2.0,30.0,60.0,90.0,118.0,119.0,-0.001735589117743075,-1.2004425525665283
task_completion_rate,Task completion rate,5000000.0,69.99728393554688,17.601238250732422,40.0,40.0,55.0,70.0,85.0,100.0,100.0,0.0012432904914021492,-1.1996339559555054
concentration_score,Concentration,5000000.0,5.5012288093566895,2.871774911880493,1.0,1.0,3.0,6.0,8.0,10.0,10.0,-5.00078676850535e-05,-1.223738431930542
meeting_hours,Meetings,5000000.0,2.5296473503112793,1.43784499168396,0.0,0.0,1.5,2.5,3.5,6.0,10.0,0.22558589279651642,-0.33471181988716125
sleep_hours,Sleep,4900000.0,6.50066614151001,1.4733915328979492,3.0,3.0,5.5,6.5,7.5,10.0,10.0,-0.0010330424411222339,-0.32398200035095215
sleep_quality,Sleep quality,5000000.0,5.502620220184326,2.871985912322998,1.0,1.0,3.0,6.0,8.0,10.0,10.0,-0.0006578523898497224,-1.22369384765625
caffeine_intake,Caffeine intake,5000000.0,3.500453233718872,2.29142689704895,0.0,0.0,2.0,4.0,6.0,7.0,7.0,9.61924743023701e-05,-1.2377774715423584
physical_activity,Physical activity,5000000.0,1.2378064393997192,0.8301197290420532,0.0,0.0,0.6000000238418579,1.2000000476837158,1.7999999523162842,3.299999952316284,5.0,0.37411925196647644,-0.3617258071899414
stress_level,Stress,5000000.0,5.499487400054932,2.871429443359375,1.0,1.0,3.0,5.0,8.0,10.0,10.0,0.0002754388260655105,-1.2237516641616821
workspace_quality,Workspace quality,5000000.0,5.498445510864258,2.8717753887176514,1.0,1.0,3.0,5.0,8.0,10.0,10.0,0.0005301071796566248,-1.2240123748779297
internet_stability,Internet stability,5000000.0,5.5004096031188965,2.8730461597442627,1.0,1.0,3.0,6.0,8.0,10.0,10.0,-0.00024577867588959634,-1.2246381044387817
remote_work_days,Remote days per week,5000000.0,3.000607490539551,1.9998866319656372,0.0,0.0,1.0,3.0,5.0,6.0,6.0,-4.7854671720415354e-05,-1.249947190284729
motivation_level,Motivation,4900000.0,5.499445915222168,2.871915817260742,1.0,1.0,3.0,5.0,8.0,10.0,10.0,-9.623372898204252e-05,-1.2244476079940796
mental_fatigue,Mental fatigue,5000000.0,5.499560356140137,2.8720180988311768,1.0,1.0,3.0,5.0,8.0,10.0,10.0,-5.5086868087528273e-05,-1.2241795063018799
emotional_exhaustion,Emotional exhaustion,5000000.0,5.502012252807617,2.871821641921997,1.0,1.0,3.0,6.0,8.0,10.0,10.0,-0.0007934013847261667,-1.2236195802688599
work_satisfaction,Job satisfaction,5000000.0,5.500899791717529,2.872480630874634,1.0,1.0,3.0,6.0,8.0,10.0,10.0,-0.0010866557713598013,-1.2235838174819946
burnout_risk,Burnout risk,5000000.0,48.583744049072266,22.07202911376953,0.0,0.0,33.0,48.0,64.0,100.0,100.0,0.03690767288208008,-0.4342314898967743
productivity_score,Productivity score,5000000.0,71.4439697265625,21.498985290527344,0.0,18.0,56.0,73.0,90.0,100.0,100.0,-0.4543345272541046,-0.47651365399360657
