,N1,N2,N3,N4,N5,N6,All,gap (pp)
Late-night device use,65.733,82.767,65.604,65.581,44.455,65.695,64.999,38.312
Sleep under 6 h,34.974,34.981,34.953,34.96,34.896,34.917,34.947,0.085
High emotional exhaustion (8+),48.743,28.104,11.336,50.557,28.118,13.004,30.002,39.221
High mental fatigue (8+),48.632,28.185,11.26,50.54,28.135,13.034,29.989,39.28
High stress (8+),29.966,30.042,29.876,30.053,29.942,30.05,29.988,0.177
Low job satisfaction (3 or less),48.747,28.062,11.28,50.49,28.076,13.001,29.968,39.21
Low motivation (3 or less),47.938,27.421,11.074,49.593,27.566,12.726,29.411,38.52
Deep work under 2 h,43.459,26.265,41.585,13.983,26.449,12.771,27.417,30.688
Screen time over 10 h,20.167,32.756,20.152,20.151,10.23,20.135,20.608,22.525
Burnout risk 70+,31.012,24.118,8.995,26.073,10.036,6.998,17.891,24.013
Low productivity category,49.591,16.11,23.274,4.744,6.755,0.39,16.83,49.201
