,N1,N2,N3,N4,N5,N6,All,SD
daily_screen_time,8.0027,8.9811,7.9991,7.9981,7.0134,8.005,8.001,2.4948
social_media_hours,3.5173,4.2128,3.5115,3.512,2.8352,3.5105,3.5173,1.7418
doomscrolling_duration,1.8291,2.2941,1.8278,1.8287,1.3989,1.8266,1.8346,1.1322
app_switch_frequency,129.4408,157.1738,129.3993,129.4705,101.8336,129.4833,129.4981,69.2814
notification_count,209.6287,253.2146,209.2479,209.4683,165.3901,209.3776,209.438,109.6646
smartphone_unlocks,157.0315,189.7764,157.1144,156.8806,124.0034,157.2272,157.0431,82.2816
late_night_device_usage,0.6573,0.8277,0.656,0.6558,0.4446,0.6569,0.65,0.477
focus_sessions,3.1737,4.4948,3.301,5.7163,4.4775,5.8364,4.5005,2.8727
deep_work_hours,2.2756,3.0013,2.3495,3.7491,2.9969,3.8328,3.0346,1.7077
distraction_frequency,75.9368,60.193,74.3791,45.4675,60.2986,43.9662,60.0335,34.3501
task_completion_rate,61.8586,69.9019,62.6553,77.4542,69.8857,78.2076,69.9973,17.6012
concentration_score,4.174,5.4837,4.3051,6.7173,5.4792,6.8447,5.5012,2.8718
meeting_hours,2.53,2.5275,2.5316,2.5276,2.5319,2.5295,2.5296,1.4378
sleep_hours,6.4997,6.4981,6.5006,6.5,6.5044,6.5012,6.5007,1.4586
sleep_quality,5.5034,5.5022,5.502,5.5014,5.5055,5.5011,5.5026,2.872
caffeine_intake,3.4979,3.4984,3.5016,3.5036,3.4988,3.5024,3.5005,2.2914
physical_activity,1.2362,1.2369,1.2382,1.2372,1.2412,1.2372,1.2378,0.8301
stress_level,5.4973,5.5012,5.4939,5.5019,5.4958,5.5067,5.4995,2.8714
workspace_quality,5.5041,5.5012,5.4993,5.4929,5.4964,5.4968,5.4984,2.8718
internet_stability,5.5006,5.4939,5.5016,5.5013,5.505,5.5001,5.5004,2.873
remote_work_days,3.003,2.9967,3.0001,2.9974,3.0045,3.002,3.0006,1.9999
motivation_level,4.0922,5.4949,7.0282,3.9869,5.4867,6.8559,5.4895,2.8439
mental_fatigue,6.9066,5.5034,3.9368,7.0293,5.4961,4.1167,5.4996,2.872
emotional_exhaustion,6.9132,5.4947,3.9461,7.0339,5.4979,4.1178,5.502,2.8718
work_satisfaction,4.0881,5.5061,7.0551,3.9724,5.5077,6.8845,5.5009,2.8725
burnout_risk,58.8874,54.5617,41.1937,55.7589,42.6029,38.4124,48.5837,22.072
productivity_score,49.5116,67.8528,63.8357,80.429,76.1901,90.8764,71.444,21.499
