,N1,N2,N3,N4,N5,N6
daily_screen_time,0.0007,0.3929,-0.0007,-0.0012,-0.3959,0.0016
social_media_hours,-0.0,0.3993,-0.0033,-0.003,-0.3916,-0.0039
doomscrolling_duration,-0.0049,0.4058,-0.0061,-0.0053,-0.3849,-0.0071
app_switch_frequency,-0.0008,0.3995,-0.0014,-0.0004,-0.3993,-0.0002
notification_count,0.0017,0.3992,-0.0017,0.0003,-0.4017,-0.0006
smartphone_unlocks,-1e-04,0.3978,0.0009,-0.002,-0.4015,0.0022
late_night_device_usage,0.0154,0.3725,0.0127,0.0122,-0.4307,0.0146
focus_sessions,-0.4619,-0.002,-0.4176,0.4232,-0.008,0.465
deep_work_hours,-0.4444,-0.0195,-0.4012,0.4184,-0.0221,0.4674
distraction_frequency,0.463,0.0046,0.4176,-0.424,0.0077,-0.4678
task_completion_rate,-0.4624,-0.0054,-0.4171,0.4237,-0.0063,0.4665
concentration_score,-0.4622,-0.0061,-0.4165,0.4234,-0.0077,0.4678
meeting_hours,0.0002,-0.0015,0.0013,-0.0014,0.0015,-1e-04
sleep_hours,-0.0006,-0.0018,-1e-04,-0.0005,0.0026,0.0003
sleep_quality,0.0003,-1e-04,-0.0002,-0.0004,0.001,-0.0005
caffeine_intake,-0.0011,-0.0009,0.0005,0.0014,-0.0007,0.0008
physical_activity,-0.0019,-0.0011,0.0005,-0.0007,0.004,-0.0007
stress_level,-0.0008,0.0006,-0.0019,0.0008,-0.0013,0.0025
workspace_quality,0.002,0.001,0.0003,-0.0019,-0.0007,-0.0006
internet_stability,1e-04,-0.0023,0.0004,0.0003,0.0016,-1e-04
remote_work_days,0.0012,-0.002,-0.0003,-0.0016,0.002,0.0007
motivation_level,-0.4913,0.0019,0.5411,-0.5283,-0.001,0.4805
mental_fatigue,0.4899,0.0013,-0.5441,0.5326,-0.0012,-0.4815
emotional_exhaustion,0.4914,-0.0026,-0.5418,0.5334,-0.0014,-0.482
work_satisfaction,-0.4918,0.0018,0.5411,-0.5321,0.0024,0.4817
