group,driver,burnout_risk,productivity_score
N1,daily_screen_time,0.2126,-0.0814
N1,social_media_hours,-0.031,-0.1693
N1,doomscrolling_duration,0.1924,-0.0753
N1,app_switch_frequency,-0.0332,-0.0884
N1,notification_count,0.0753,-0.0192
N1,smartphone_unlocks,-0.0318,0.0261
N1,late_night_device_usage,0.143,-0.0465
N1,focus_sessions,0.0474,0.0383
N1,deep_work_hours,0.0185,0.4842
N1,distraction_frequency,0.1233,0.2102
N1,task_completion_rate,0.0468,0.2135
N1,concentration_score,0.0456,0.2035
N1,meeting_hours,0.0007,0.0006
N1,sleep_hours,-0.141,0.0616
N1,sleep_quality,0.0006,0.0001
N1,caffeine_intake,-0.0012,0.0027
N1,physical_activity,-0.1184,0.055
N1,stress_level,0.413,-0.1832
N1,workspace_quality,-0.0,0.2338
N1,internet_stability,-0.0021,0.0015
N1,remote_work_days,0.0011,0.0013
N1,motivation_level,0.1436,0.1612
N1,mental_fatigue,-0.1436,0.1691
N1,emotional_exhaustion,0.4404,-0.0931
N1,work_satisfaction,-0.1473,-0.0385
N2,daily_screen_time,0.1893,-0.0606
N2,social_media_hours,-0.059,-0.1498
N2,doomscrolling_duration,0.1743,-0.0526
N2,app_switch_frequency,-0.0598,-0.0604
N2,notification_count,0.0483,0.0034
N2,smartphone_unlocks,-0.0588,0.0483
N2,late_night_device_usage,0.0907,-0.0178
N2,focus_sessions,0.0352,0.0177
N2,deep_work_hours,-0.017,0.4899
N2,distraction_frequency,0.1502,0.2491
N2,task_completion_rate,0.0338,0.199
N2,concentration_score,0.0347,0.1861
N2,meeting_hours,0.0006,-0.0006
N2,sleep_hours,-0.1381,0.0601
N2,sleep_quality,0.0021,-0.0004
N2,caffeine_intake,-0.0003,-0.0011
N2,physical_activity,-0.1183,0.0527
N2,stress_level,0.4113,-0.18
N2,workspace_quality,0.0002,0.2272
N2,internet_stability,-0.0002,0.0002
N2,remote_work_days,-0.0001,-0.001
N2,motivation_level,0.2005,0.1987
N2,mental_fatigue,-0.1992,0.1597
N2,emotional_exhaustion,0.4593,-0.1264
N2,work_satisfaction,-0.1265,-0.0194
N3,daily_screen_time,0.2126,-0.0765
N3,social_media_hours,-0.0292,-0.1538
N3,doomscrolling_duration,0.1896,-0.0682
N3,app_switch_frequency,-0.0311,-0.0829
N3,notification_count,0.0766,-0.0224
N3,smartphone_unlocks,-0.0295,0.0222
N3,late_night_device_usage,0.1475,-0.046
N3,focus_sessions,0.0031,0.0855
N3,deep_work_hours,-0.0252,0.4914
N3,distraction_frequency,0.1701,0.1449
N3,task_completion_rate,0.0013,0.2468
N3,concentration_score,0.0005,0.236
N3,meeting_hours,-0.0004,-0.0011
N3,sleep_hours,-0.1382,0.0567
N3,sleep_quality,-0.0018,0.0013
N3,caffeine_intake,-0.0001,0.0003
N3,physical_activity,-0.1204,0.0488
N3,stress_level,0.4113,-0.1682
N3,workspace_quality,0.0014,0.2163
N3,internet_stability,-0.0006,0.0008
N3,remote_work_days,-0.0015,0.0002
N3,motivation_level,0.1329,0.2481
N3,mental_fatigue,-0.1317,0.0517
N3,emotional_exhaustion,0.4388,-0.1839
N3,work_satisfaction,-0.1526,0.0653
N4,daily_screen_time,0.2121,-0.0708
N4,social_media_hours,-0.0311,-0.1442
N4,doomscrolling_duration,0.1914,-0.0627
N4,app_switch_frequency,-0.0299,-0.0791
